algorithm,seed,step,checkpoint_mean,checkpoint_timeouts
dqn,0,0,-500.0,20
dqn,0,5000,-500.0,20
dqn,0,10000,-500.0,20
dqn,0,15000,-328.15,0
dqn,0,20000,-338.85,5
dqn,0,25000,-482.85,18
dqn,0,30000,-500.0,20
dqn,0,35000,-500.0,20
dqn,0,40000,-156.25,0
dqn,0,45000,-500.0,20
dqn,0,50000,-362.75,1
dqn,0,55000,-195.8,0
dqn,0,60000,-500.0,20
dqn,0,65000,-500.0,20
dqn,0,70000,-345.95,11
dqn,0,75000,-500.0,20
dqn,0,80000,-500.0,20
dqn,0,85000,-105.25,0
dqn,0,90000,-500.0,20
dqn,0,95000,-464.35,18
dqn,0,100000,-500.0,20
dqn,0,105000,-360.3,13
dqn,0,110000,-380.95,14
dqn,0,115000,-98.95,0
dqn,0,120000,-90.7,0
dqn,0,125000,-440.0,17
dqn,0,130000,-92.0,0
dqn,0,135000,-87.4,0
dqn,0,140000,-85.8,0
dqn,0,145000,-88.1,0
dqn,0,150000,-110.95,0
dqn,0,155000,-76.15,0
dqn,0,160000,-90.45,0
dqn,0,165000,-109.2,1
dqn,0,170000,-112.05,1
dqn,0,175000,-87.45,0
dqn,0,180000,-317.35,11
dqn,0,185000,-108.95,1
dqn,0,190000,-82.95,0
dqn,0,195000,-104.9,0
dqn,0,200000,-82.9,0
dqn,1,0,-500.0,20
dqn,1,5000,-500.0,20
dqn,1,10000,-500.0,20
dqn,1,15000,-500.0,20
dqn,1,20000,-203.85,0
dqn,1,25000,-500.0,20
dqn,1,30000,-500.0,20
dqn,1,35000,-307.3,7
dqn,1,40000,-500.0,20
dqn,1,45000,-220.6,3
dqn,1,50000,-500.0,20
dqn,1,55000,-500.0,20
dqn,1,60000,-500.0,20
dqn,1,65000,-204.15,5
dqn,1,70000,-368.9,12
dqn,1,75000,-500.0,20
dqn,1,80000,-149.75,2
dqn,1,85000,-87.95,0
dqn,1,90000,-500.0,20
dqn,1,95000,-500.0,20
dqn,1,100000,-97.6,0
dqn,1,105000,-96.1,0
dqn,1,110000,-89.25,0
dqn,1,115000,-102.85,0
dqn,1,120000,-83.65,0
dqn,1,125000,-429.75,16
dqn,1,130000,-97.7,0
dqn,1,135000,-80.2,0
dqn,1,140000,-119.65,1
dqn,1,145000,-135.0,2
dqn,1,150000,-500.0,20
dqn,1,155000,-94.9,0
dqn,1,160000,-84.25,0
dqn,1,165000,-92.6,0
dqn,1,170000,-97.15,0
dqn,1,175000,-500.0,20
