algorithm,M,seed,safe_absolute_error,risky_absolute_error,noisy_absolute_error
double_dqn,2,0,0.0025195977227254348,0.02526554199240424,0.03293797583742575
double_dqn,2,1,0.0019274511988359418,0.055665482951836154,0.07224399448287759
double_dqn,2,2,0.001820896053686738,0.02439484972845424,0.03019947924397209
double_dqn,10,0,0.0020463365766442043,0.05053574907982891,0.10040688441896982
double_dqn,10,1,0.0022577125266914004,0.060805337193337354,0.09465235170315613
double_dqn,10,2,0.004057220140980048,0.06827013784773986,0.11170982606709004
double_dqn,50,0,0.0019258763211176054,0.1062922378947789,0.12680929123677995
double_dqn,50,1,0.0005252128874328062,0.0880486463713883,0.11681629153476523
double_dqn,50,2,0.004498943137481216,0.11252693783965978,0.13683341963385998
dqn,2,0,0.002447667997330427,0.05621434769982641,0.04020101082595912
dqn,2,1,0.0036613594486632132,0.042133235434239566,0.030860836532982914
dqn,2,2,0.003463940525596792,0.05120351487533612,0.06267943880097432
dqn,10,0,0.000999864447459748,0.06447729962251403,0.0769985323602503
dqn,10,1,0.0016686559141486544,0.09946326114203442,0.09151348195631397
dqn,10,2,0.002797623639873398,0.07719161706138401,0.07508836368268186
dqn,50,0,0.0008146835660392588,0.11984689942950552,0.12379996414211666
dqn,50,1,0.0006065257846123793,0.0894369166628881,0.09924846281382171
dqn,50,2,0.00439867889508605,0.11417487524754621,0.11805506121705882
