algorithm,M,seed,total_noisy_samples,minimum_action_samples,maximum_action_samples,all_actions_sampled
double_dqn,2,0,3720,1435,2285,True
double_dqn,2,1,3834,1208,2626,True
double_dqn,2,2,2526,1213,1313,True
double_dqn,10,0,3581,64,1041,True
double_dqn,10,1,4787,42,1355,True
double_dqn,10,2,5127,78,1443,True
double_dqn,50,0,12768,16,1132,True
double_dqn,50,1,10833,15,1169,True
double_dqn,50,2,12374,17,1261,True
dqn,2,0,4137,827,3310,True
dqn,2,1,5232,2363,2869,True
dqn,2,2,3597,1679,1918,True
dqn,10,0,8825,107,1937,True
dqn,10,1,8571,76,2059,True
dqn,10,2,10799,304,2854,True
dqn,50,0,20978,33,2372,True
dqn,50,1,17855,22,2145,True
dqn,50,2,23251,49,1908,True
