algorithm,M,seed,late_mean_loss,late_max_loss,all_finite
double_dqn,2,0,0.04925323727875854,0.25548845529556274,True
double_dqn,2,1,0.051031103493387166,0.3306690752506256,True
double_dqn,2,2,0.04919971553916901,0.3001177906990051,True
double_dqn,10,0,0.09107455549237402,0.36302486062049866,True
double_dqn,10,1,0.11378342995981706,0.4545411765575409,True
double_dqn,10,2,0.11200240397315124,0.45464423298835754,True
double_dqn,50,0,0.2810407099569892,0.7674930095672607,True
double_dqn,50,1,0.21405132714804118,0.6732542514801025,True
double_dqn,50,2,0.3332918269576488,0.8165637254714966,True
dqn,2,0,0.052583866835430045,0.3095801770687103,True
dqn,2,1,0.04372435951377637,0.3339136838912964,True
dqn,2,2,0.050827675311677596,0.2796911597251892,True
dqn,10,0,0.17038864551575392,0.5382189750671387,True
dqn,10,1,0.10692800162844439,0.5217129588127136,True
dqn,10,2,0.2640048891071465,0.7488054633140564,True
dqn,50,0,0.3651453298735214,0.9716603755950928,True
dqn,50,1,0.24346079882215726,0.595974326133728,True
dqn,50,2,0.4585929189945434,1.0386751890182495,True
