panel,algorithm,x,mean,se
risky_error,dqn,1000,0.2754162977536519,0.01044331806892444
greedy_risky_fraction,dqn,1000,1.0,0.0
risky_error,dqn,2000,0.2634095480442047,0.020250230361698044
greedy_risky_fraction,dqn,2000,1.0,0.0
risky_error,dqn,3000,0.25704209808508555,0.019963871597642627
greedy_risky_fraction,dqn,3000,1.0,0.0
risky_error,dqn,4000,0.09982679186016323,0.01616629323038845
greedy_risky_fraction,dqn,4000,0.3333333333333333,0.33333333333333337
risky_error,dqn,5000,0.1168234192232291,0.0183425454425072
greedy_risky_fraction,dqn,5000,0.6666666666666666,0.33333333333333337
risky_error,dqn,6000,0.11503763550519945,0.01610342830034875
greedy_risky_fraction,dqn,6000,0.6666666666666666,0.33333333333333337
risky_error,dqn,7000,0.04159331313272318,0.01403241065714535
greedy_risky_fraction,dqn,7000,0.0,0.0
risky_error,dqn,8000,0.0349776849548022,0.014145787947041685
greedy_risky_fraction,dqn,8000,0.0,0.0
risky_error,dqn,9000,0.03645292164385319,0.017591634456404184
greedy_risky_fraction,dqn,9000,0.0,0.0
risky_error,dqn,10000,0.10456763447821142,0.012031626303043672
greedy_risky_fraction,dqn,10000,0.6666666666666666,0.33333333333333337
risky_error,dqn,11000,0.10079718124369781,0.011691921583300955
greedy_risky_fraction,dqn,11000,0.6666666666666666,0.33333333333333337
risky_error,dqn,12000,0.10374435215195021,0.017766546911232823
greedy_risky_fraction,dqn,12000,0.6666666666666666,0.33333333333333337
risky_error,dqn,13000,0.0689742253869772,0.021033250510737022
greedy_risky_fraction,dqn,13000,0.3333333333333333,0.33333333333333337
risky_error,dqn,14000,0.05539312018950781,0.02340312548825297
greedy_risky_fraction,dqn,14000,0.0,0.0
risky_error,dqn,15000,0.06163520792126656,0.02011119800062977
greedy_risky_fraction,dqn,15000,0.0,0.0
risky_error,dqn,16000,0.05650297419726849,0.017328453603091067
greedy_risky_fraction,dqn,16000,0.0,0.0
risky_error,dqn,17000,0.04327783663074176,0.006994065236718531
greedy_risky_fraction,dqn,17000,0.0,0.0
risky_error,dqn,18000,0.04800932163000107,0.0009391556630120023
greedy_risky_fraction,dqn,18000,0.0,0.0
risky_error,dqn,19000,0.05077789529164633,0.003950874491931566
greedy_risky_fraction,dqn,19000,0.0,0.0
risky_error,dqn,20000,0.07395679433147113,0.02124869566292452
greedy_risky_fraction,dqn,20000,0.3333333333333333,0.33333333333333337
risky_error,dqn,21000,0.07659261975685756,0.020248991927829
greedy_risky_fraction,dqn,21000,0.3333333333333333,0.33333333333333337
risky_error,dqn,22000,0.07523855620622635,0.022011712117734398
greedy_risky_fraction,dqn,22000,0.3333333333333333,0.33333333333333337
risky_error,dqn,23000,0.02425259653727214,0.012039541513100554
greedy_risky_fraction,dqn,23000,0.0,0.0
risky_error,dqn,24000,0.03404870310425759,0.013084364796118235
greedy_risky_fraction,dqn,24000,0.0,0.0
risky_error,dqn,25000,0.031135984301567082,0.014593990547239184
greedy_risky_fraction,dqn,25000,0.0,0.0
risky_error,dqn,26000,0.10324368803699813,0.024244438640028843
greedy_risky_fraction,dqn,26000,0.3333333333333333,0.33333333333333337
risky_error,dqn,27000,0.08847278968989851,0.019563977954205922
greedy_risky_fraction,dqn,27000,0.3333333333333333,0.33333333333333337
risky_error,dqn,28000,0.08830393594006698,0.02622665324077191
greedy_risky_fraction,dqn,28000,0.3333333333333333,0.33333333333333337
risky_error,dqn,29000,0.09736620098600786,0.020971258058784067
greedy_risky_fraction,dqn,29000,0.6666666666666666,0.33333333333333337
