algorithm,M,seed,late_expected_greedy_return,late_greedy_risky_fraction
double_dqn,2,0,0.0,0.0
double_dqn,2,1,0.0,0.0
double_dqn,2,2,0.0,0.0
double_dqn,10,0,0.0,0.0
double_dqn,10,1,-0.009090909090909092,0.09090909090909091
double_dqn,10,2,-0.02727272727272728,0.2727272727272727
double_dqn,50,0,-0.05454545454545454,0.5454545454545454
double_dqn,50,1,-0.03636363636363637,0.36363636363636365
double_dqn,50,2,-0.06363636363636364,0.6363636363636364
dqn,2,0,-0.009090909090909092,0.09090909090909091
dqn,2,1,0.0,0.0
dqn,2,2,0.0,0.0
dqn,10,0,-0.018181818181818184,0.18181818181818182
dqn,10,1,-0.045454545454545456,0.45454545454545453
dqn,10,2,-0.018181818181818184,0.18181818181818182
dqn,50,0,-0.09090909090909091,0.9090909090909091
dqn,50,1,-0.045454545454545456,0.45454545454545453
dqn,50,2,-0.09090909090909091,0.9090909090909091
