algorithm,seed,C,late_mean_risky_signed_error,late_mean_risky_absolute_error,late_greedy_risky_fraction,late_error_sd,late_mean_loss,final_greedy_risky,minimum_action_samples
double_dqn,0,320,0.05053574907982892,0.05053574907982892,0,0.026211959962153895,0.09107455549237402,0,64
double_dqn,0,1000,0.08940024722291326,0.09116328343063254,0.5454545454545454,0.04292238680576699,0.1137602164070269,0,143
double_dqn,1,320,0.06080533719333736,0.06080533719333736,0.09090909090909091,0.03759245684106619,0.11378342995981706,0,42
double_dqn,1,1000,0.03353904828691686,0.038337314112535256,0,0.044834293980251315,0.1124243375428038,0,50
double_dqn,2,320,0.06827013784773987,0.06827013784773987,0.2727272727272727,0.03331227173930424,0.11200240397315124,1,78
double_dqn,2,1000,0.04934150643782183,0.04934150643782183,0,0.00604536185577424,0.07538433871619585,0,47
dqn,0,320,0.06447729962251404,0.06447729962251404,0.18181818181818182,0.03720639753488523,0.17038864551575392,1,107
dqn,0,1000,0.08619863932241094,0.08619863932241094,0.09090909090909091,0.011103800188876975,0.22695787437074072,0,134
dqn,1,320,0.09946326114203442,0.09946326114203442,0.45454545454545453,0.024821943335861726,0.10692800162844439,0,76
dqn,1,1000,0.14089405488696966,0.14089405488696966,0.9090909090909091,0.03468592756737597,0.15031311251813723,1,107
dqn,2,320,0.07719161706138403,0.07719161706138403,0.18181818181818182,0.0190442921341442,0.2640048891071465,0,304
dqn,2,1000,0.05436414906382561,0.05436414906382561,0,0.004994703857521995,0.05725663786418371,0,118
