algorithm,M,C,epsilon,mean_late_signed_error,sample_sd
dqn,2,320,0.1,0.022283672863335324,0.007673222401856359
dqn,10,320,0.1,0.08037739260864417,0.017709213710367853
dqn,50,320,0.1,0.10781956377997995,0.016170474663838003
dqn,10,1000,0.1,0.0938189477577354,0.043765374166430386
dqn,10,320,0.2,0.08714701878776153,0.004683878230503819
double_dqn,2,320,0.1,0.018405830967606923,0.02787849096850773
double_dqn,10,320,0.1,0.05987040804030205,0.008904083649300922
double_dqn,50,320,0.1,0.10228927403527566,0.012720631982994392
double_dqn,10,1000,0.1,0.05742693398255065,0.02879494730985865
double_dqn,10,320,0.2,0.05959520477711252,0.023782254191395617
