environment,algorithm,seed,M,C,epsilon,late_signed_error,late_absolute_error,late_greedy_risky_fraction,source_directory,final_return,timeouts
NoisyMax,dqn,0,2,320,0.1,0.01398181173069911,0.05621434769982642,0.09090909090909091,results/runs/noisy_max/dqn/20260911_212330_157585,,
NoisyMax,dqn,1,2,320,0.1,0.023753620712594556,0.04213323543423956,0,results/runs/noisy_max/dqn/20260911_212447_972853,,
NoisyMax,dqn,2,2,320,0.1,0.029115586146712308,0.05120351487533613,0,results/runs/noisy_max/dqn/20260911_212605_112762,,
NoisyMax,dqn,0,10,320,0.1,0.06447729962251404,0.06447729962251404,0.18181818181818182,results/runs/noisy_max/dqn/20260911_212723_217864,,
NoisyMax,dqn,1,10,320,0.1,0.09946326114203442,0.09946326114203442,0.45454545454545453,results/runs/noisy_max/dqn/20260911_212840_770706,,
NoisyMax,dqn,2,10,320,0.1,0.07719161706138403,0.07719161706138403,0.18181818181818182,results/runs/noisy_max/dqn/20260911_212958_288294,,
NoisyMax,dqn,0,50,320,0.1,0.11984689942950552,0.11984689942950552,0.9090909090909091,results/runs/noisy_max/dqn/20260911_213115_848110,,
NoisyMax,dqn,1,50,320,0.1,0.0894369166628881,0.0894369166628881,0.45454545454545453,results/runs/noisy_max/dqn/20260911_213234_442382,,
NoisyMax,dqn,2,50,320,0.1,0.11417487524754623,0.11417487524754623,0.9090909090909091,results/runs/noisy_max/dqn/20260911_213351_325145,,
NoisyMax,dqn,0,10,1000,0.1,0.08619863932241094,0.08619863932241094,0.09090909090909091,results/runs/noisy_max/dqn/20260912_135015_815213,,
NoisyMax,dqn,1,10,1000,0.1,0.14089405488696966,0.14089405488696966,0.9090909090909091,results/runs/noisy_max/dqn/20260912_135134_115974,,
NoisyMax,dqn,2,10,1000,0.1,0.05436414906382561,0.05436414906382561,0,results/runs/noisy_max/dqn/20260912_135255_128799,,
NoisyMax,dqn,0,10,320,0.2,0.08367603156512435,0.08367603156512435,0.18181818181818182,results/runs/noisy_max/dqn/20260912_140129_519131,,
NoisyMax,dqn,1,10,320,0.2,0.09247457323562015,0.09247457323562015,0.36363636363636365,results/runs/noisy_max/dqn/20260912_140249_530851,,
NoisyMax,dqn,2,10,320,0.2,0.0852904515625401,0.0852904515625401,0,results/runs/noisy_max/dqn/20260912_140410_417612,,
NoisyMax,double_dqn,0,2,320,0.1,0.002191336853937674,0.025265541992404245,0,results/runs/noisy_max/double_dqn/20260911_212409_153370,,
NoisyMax,double_dqn,1,2,320,0.1,0.05059684629602866,0.055665482951836154,0,results/runs/noisy_max/double_dqn/20260911_212526_662068,,
NoisyMax,double_dqn,2,2,320,0.1,0.0024293097528544387,0.024394849728454245,0,results/runs/noisy_max/double_dqn/20260911_212644_004314,,
NoisyMax,double_dqn,0,10,320,0.1,0.05053574907982892,0.05053574907982892,0,results/runs/noisy_max/double_dqn/20260911_212802_172631,,
NoisyMax,double_dqn,1,10,320,0.1,0.06080533719333736,0.06080533719333736,0.09090909090909091,results/runs/noisy_max/double_dqn/20260911_212919_589769,,
NoisyMax,double_dqn,2,10,320,0.1,0.06827013784773987,0.06827013784773987,0.2727272727272727,results/runs/noisy_max/double_dqn/20260911_213037_247642,,
NoisyMax,double_dqn,0,50,320,0.1,0.1062922378947789,0.1062922378947789,0.5454545454545454,results/runs/noisy_max/double_dqn/20260911_213155_201318,,
NoisyMax,double_dqn,1,50,320,0.1,0.0880486463713883,0.0880486463713883,0.36363636363636365,results/runs/noisy_max/double_dqn/20260911_213313_000696,,
NoisyMax,double_dqn,2,50,320,0.1,0.11252693783965978,0.11252693783965978,0.6363636363636364,results/runs/noisy_max/double_dqn/20260911_213429_679598,,
NoisyMax,double_dqn,0,10,1000,0.1,0.08940024722291326,0.09116328343063254,0.5454545454545454,results/runs/noisy_max/double_dqn/20260912_135055_166179,,
NoisyMax,double_dqn,1,10,1000,0.1,0.03353904828691686,0.038337314112535256,0,results/runs/noisy_max/double_dqn/20260912_135215_358866,,
NoisyMax,double_dqn,2,10,1000,0.1,0.04934150643782183,0.04934150643782183,0,results/runs/noisy_max/double_dqn/20260912_135334_739628,,
NoisyMax,double_dqn,0,10,320,0.2,0.07559996651451696,0.07559996651451696,0.09090909090909091,results/runs/noisy_max/double_dqn/20260912_140208_957212,,
NoisyMax,double_dqn,1,10,320,0.2,0.03226715921813792,0.03226715921813792,0,results/runs/noisy_max/double_dqn/20260912_140330_221472,,
NoisyMax,double_dqn,2,10,320,0.2,0.07091848859868267,0.07091848859868267,0,results/runs/noisy_max/double_dqn/20260912_140450_796705,,
Acrobot,dqn,0,,,,,,,results/runs/acrobot/dqn/20260912_133132_939190,-87.36,0
Acrobot,dqn,1,,,,,,,results/runs/acrobot/dqn/20260912_133455_134961,-89.88,0
Acrobot,dqn,2,,,,,,,results/runs/acrobot/dqn/20260912_133820_949311,-85.42,0
Acrobot,double_dqn,0,,,,,,,results/runs/acrobot/double_dqn/20260912_133311_603366,-82.46,0
Acrobot,double_dqn,1,,,,,,,results/runs/acrobot/double_dqn/20260912_133638_932766,-82.39,0
Acrobot,double_dqn,2,,,,,,,results/runs/acrobot/double_dqn/20260912_134007_581603,-82.21,0
