episode,ending_environment_step,episode_return,episode_length
0,500,-500.0,500
1,1000,-500.0,500
2,1500,-500.0,500
3,2000,-500.0,500
4,2500,-500.0,500
5,3000,-500.0,500
6,3500,-500.0,500
7,3810,-306.0,307
8,4310,-500.0,500
9,4810,-500.0,500
10,5140,-329.0,330
11,5540,-398.0,399
12,5740,-203.0,204
13,5880,-131.0,132
14,6140,-265.0,266
15,6330,-185.0,186
16,6520,-189.0,190
17,6660,-138.0,139
18,6910,-256.0,257
19,7090,-175.0,176
20,7340,-250.0,251
21,7710,-363.0,364
22,8020,-311.0,312
23,8520,-500.0,500
24,9020,-500.0,500
25,9520,-500.0,500
26,10020,-500.0,500
27,10450,-427.0,428
28,10950,-500.0,500
29,11450,-500.0,500
30,11920,-477.0,478
31,12340,-415.0,416
32,12640,-296.0,297
33,12800,-159.0,160
34,13040,-244.0,245
35,13510,-468.0,469
36,14010,-500.0,500
37,14270,-260.0,261
38,14740,-468.0,469
39,14920,-176.0,177
40,15310,-391.0,392
41,15540,-226.0,227
42,16040,-500.0,500
43,16180,-142.0,143
44,16320,-136.0,137
45,16650,-329.0,330
46,16840,-194.0,195
47,17000,-162.0,163
48,17290,-286.0,287
49,17620,-331.0,332
50,17840,-220.0,221
51,18010,-162.0,163
52,18510,-500.0,500
53,18780,-268.0,269
54,18960,-185.0,186
55,19340,-377.0,378
56,19760,-418.0,419
57,20150,-386.0,387
58,20650,-500.0,500
59,20940,-295.0,296
60,21330,-389.0,390
61,21830,-500.0,500
62,22110,-277.0,278
63,22310,-200.0,201
64,22540,-228.0,229
65,22770,-229.0,230
66,23150,-380.0,381
67,23300,-150.0,151
68,23580,-280.0,281
69,23820,-234.0,235
70,23920,-99.0,100
71,24200,-283.0,284
72,24390,-189.0,190
73,24570,-173.0,174
74,24900,-337.0,338
75,25080,-171.0,172
76,25300,-222.0,223
77,25550,-248.0,249
78,25700,-148.0,149
79,26110,-416.0,417
80,26350,-238.0,239
81,26590,-232.0,233
82,26780,-195.0,196
83,27050,-269.0,270
84,27230,-178.0,179
85,27550,-320.0,321
86,27820,-268.0,269
87,28100,-276.0,277
88,28380,-283.0,284
89,28800,-417.0,418
90,29050,-247.0,248
91,29550,-497.0,498
92,29810,-267.0,268
93,30210,-390.0,391
94,30420,-214.0,215
95,30730,-304.0,305
96,30870,-145.0,146
97,31150,-280.0,281
98,31400,-248.0,249
99,31790,-387.0,388
100,32240,-454.0,455
101,32420,-174.0,175
102,32630,-205.0,206
103,32820,-198.0,199
104,33050,-221.0,222
105,33250,-202.0,203
106,33380,-133.0,134
107,33660,-277.0,278
108,33780,-121.0,122
109,33950,-165.0,166
110,34170,-217.0,218
111,34430,-265.0,266
112,34570,-140.0,141
113,34910,-330.0,331
114,35100,-197.0,198
115,35370,-264.0,265
116,35700,-329.0,330
117,36030,-330.0,331
118,36200,-170.0,171
119,36470,-268.0,269
120,36900,-433.0,434
121,37130,-221.0,222
122,37230,-108.0,109
123,37390,-151.0,152
124,37490,-99.0,100
125,37850,-358.0,359
126,37940,-90.0,91
127,38110,-168.0,169
128,38330,-223.0,224
129,38520,-188.0,189
130,38700,-177.0,178
131,39040,-345.0,346
132,39180,-137.0,138
133,39410,-233.0,234
134,39690,-276.0,277
135,39800,-104.0,105
136,40060,-258.0,259
137,40200,-148.0,149
138,40380,-172.0,173
139,40600,-218.0,219
140,40710,-113.0,114
141,40910,-198.0,199
142,41070,-160.0,161
143,41220,-150.0,151
144,41400,-179.0,180
145,41680,-281.0,282
146,41860,-180.0,181
147,42360,-500.0,500
148,42560,-192.0,193
149,42810,-253.0,254
150,42990,-173.0,174
151,43110,-124.0,125
152,43540,-424.0,425
153,43670,-135.0,136
154,43990,-314.0,315
155,44120,-134.0,135
156,44470,-351.0,352
157,44650,-179.0,180
158,44830,-178.0,179
159,45090,-253.0,254
160,45200,-115.0,116
161,45640,-437.0,438
162,45880,-242.0,243
163,46050,-166.0,167
164,46220,-165.0,166
165,46460,-245.0,246
166,46740,-276.0,277
167,46950,-214.0,215
168,47130,-175.0,176
169,47440,-308.0,309
170,47610,-172.0,173
171,47750,-141.0,142
172,47850,-90.0,91
173,47970,-123.0,124
174,48180,-207.0,208
175,48520,-338.0,339
176,48720,-201.0,202
177,48970,-246.0,247
178,49110,-144.0,145
179,49520,-410.0,411
180,49690,-165.0,166
181,49980,-292.0,293
182,50120,-136.0,137
183,50410,-295.0,296
184,50550,-140.0,141
185,50830,-274.0,275
186,51060,-229.0,230
187,51190,-130.0,131
188,51410,-221.0,222
189,51550,-141.0,142
190,51760,-203.0,204
191,51870,-114.0,115
192,52030,-159.0,160
193,52190,-158.0,159
194,52520,-331.0,332
195,52900,-374.0,375
196,53070,-172.0,173
197,53340,-271.0,272
198,53490,-148.0,149
199,53720,-223.0,224
200,53910,-190.0,191
201,54200,-293.0,294
202,54370,-171.0,172
203,54570,-194.0,195
204,55070,-500.0,500
205,55300,-233.0,234
206,55500,-198.0,199
207,55870,-371.0,372
208,56190,-316.0,317
209,56440,-247.0,248
210,56630,-192.0,193
211,56740,-104.0,105
212,56920,-182.0,183
213,57160,-237.0,238
214,57340,-178.0,179
215,57500,-157.0,158
216,57700,-199.0,200
217,57920,-224.0,225
218,58060,-140.0,141
219,58190,-131.0,132
220,58290,-100.0,101
221,58480,-182.0,183
222,58660,-179.0,180
223,58810,-149.0,150
224,58910,-98.0,99
225,59010,-100.0,101
226,59180,-170.0,171
227,59350,-168.0,169
228,59530,-186.0,187
229,59660,-122.0,123
230,59940,-277.0,278
231,60140,-202.0,203
232,60250,-112.0,113
233,60380,-129.0,130
234,60530,-143.0,144
235,60660,-134.0,135
236,60860,-201.0,202
237,61020,-153.0,154
238,61150,-135.0,136
239,61400,-251.0,252
240,61690,-281.0,282
241,61820,-137.0,138
242,61940,-116.0,117
243,62050,-108.0,109
244,62160,-112.0,113
245,62300,-133.0,134
246,62450,-147.0,148
247,62570,-124.0,125
248,62740,-166.0,167
249,62880,-142.0,143
250,62970,-84.0,85
251,63080,-109.0,110
252,63180,-99.0,100
253,63260,-83.0,84
254,63380,-116.0,117
255,63490,-111.0,112
