evaluation_seed,episode_return,episode_length
20000,-74.0,75
20001,-85.0,86
20002,-73.0,74
20003,-81.0,82
20004,-133.0,134
20005,-82.0,83
20006,-85.0,86
20007,-94.0,95
20008,-75.0,76
20009,-88.0,89
20010,-83.0,84
20011,-71.0,72
20012,-69.0,70
20013,-82.0,83
20014,-90.0,91
20015,-83.0,84
20016,-83.0,84
20017,-72.0,73
20018,-89.0,90
20019,-73.0,74
20020,-88.0,89
20021,-73.0,74
20022,-83.0,84
20023,-90.0,91
20024,-62.0,63
20025,-83.0,84
20026,-91.0,92
20027,-89.0,90
20028,-93.0,94
20029,-77.0,78
20030,-81.0,82
20031,-75.0,76
20032,-75.0,76
20033,-89.0,90
20034,-69.0,70
20035,-77.0,78
20036,-91.0,92
20037,-94.0,95
20038,-90.0,91
20039,-76.0,77
20040,-97.0,98
20041,-60.0,61
20042,-90.0,91
20043,-86.0,87
20044,-89.0,90
20045,-61.0,62
20046,-84.0,85
20047,-75.0,76
20048,-72.0,73
20049,-81.0,82
20050,-73.0,74
20051,-77.0,78
20052,-83.0,84
20053,-93.0,94
20054,-86.0,87
20055,-74.0,75
20056,-88.0,89
20057,-82.0,83
20058,-79.0,80
20059,-81.0,82
20060,-83.0,84
20061,-88.0,89
20062,-83.0,84
20063,-75.0,76
20064,-80.0,81
20065,-60.0,61
20066,-90.0,91
20067,-85.0,86
20068,-83.0,84
20069,-100.0,101
20070,-83.0,84
20071,-60.0,61
20072,-89.0,90
20073,-86.0,87
20074,-91.0,92
20075,-85.0,86
20076,-93.0,94
20077,-89.0,90
20078,-85.0,86
20079,-61.0,62
20080,-91.0,92
20081,-60.0,61
20082,-89.0,90
20083,-85.0,86
20084,-61.0,62
20085,-95.0,96
20086,-83.0,84
20087,-82.0,83
20088,-86.0,87
20089,-82.0,83
20090,-60.0,61
20091,-107.0,108
20092,-111.0,112
20093,-69.0,70
20094,-92.0,93
20095,-94.0,95
20096,-90.0,91
20097,-74.0,75
20098,-92.0,93
20099,-72.0,73
