episode,ending_environment_step,episode_return,episode_length
0,500,-500.0,500
1,1000,-500.0,500
2,1270,-261.0,262
3,1560,-290.0,291
4,1810,-248.0,249
5,1960,-156.0,157
6,2120,-159.0,160
7,2390,-262.0,263
8,2550,-164.0,165
9,2800,-252.0,253
10,3070,-263.0,264
11,3380,-307.0,308
12,3660,-278.0,279
13,4140,-486.0,487
14,4630,-485.0,486
15,5100,-470.0,471
16,5470,-369.0,370
17,5700,-233.0,234
18,6200,-500.0,500
19,6540,-340.0,341
20,6840,-292.0,293
21,7340,-500.0,500
22,7810,-469.0,470
23,8310,-500.0,500
24,8430,-125.0,126
25,8710,-277.0,278
26,8990,-276.0,277
27,9490,-500.0,500
28,9670,-185.0,186
29,9940,-261.0,262
30,10440,-500.0,500
31,10840,-404.0,405
32,11340,-500.0,500
33,11840,-500.0,500
34,12340,-500.0,500
35,12660,-318.0,319
36,13040,-374.0,375
37,13540,-500.0,500
38,14040,-500.0,500
39,14540,-500.0,500
40,14930,-394.0,395
41,15430,-500.0,500
42,15930,-500.0,500
43,16110,-179.0,180
44,16490,-379.0,380
45,16780,-290.0,291
46,17000,-213.0,214
47,17410,-409.0,410
48,17570,-164.0,165
49,17830,-260.0,261
50,18330,-500.0,500
51,18590,-254.0,255
52,18870,-278.0,279
53,19050,-185.0,186
54,19260,-211.0,212
55,19420,-155.0,156
56,19920,-500.0,500
57,20150,-230.0,231
58,20430,-274.0,275
59,20930,-500.0,500
60,21110,-181.0,182
61,21240,-134.0,135
62,21580,-340.0,341
63,21750,-166.0,167
64,22090,-338.0,339
65,22390,-304.0,305
66,22620,-229.0,230
67,22830,-203.0,204
68,23330,-500.0,500
69,23820,-490.0,491
70,24080,-262.0,263
71,24390,-303.0,304
72,24660,-271.0,272
73,25100,-444.0,445
74,25360,-254.0,255
75,25470,-110.0,111
76,25720,-254.0,255
77,25970,-244.0,245
78,26400,-426.0,427
79,26790,-391.0,392
80,27290,-500.0,500
81,27600,-311.0,312
82,27830,-231.0,232
83,28270,-434.0,435
84,28580,-308.0,309
85,29070,-497.0,498
86,29550,-479.0,480
87,30050,-500.0,500
88,30530,-479.0,480
89,30700,-162.0,163
90,30790,-91.0,92
91,30970,-183.0,184
92,31380,-406.0,407
93,31550,-171.0,172
94,31750,-201.0,202
95,31870,-118.0,119
96,32080,-207.0,208
97,32380,-299.0,300
98,32570,-187.0,188
99,32790,-223.0,224
100,32920,-123.0,124
101,33060,-146.0,147
102,33190,-124.0,125
103,33350,-162.0,163
104,33530,-181.0,182
105,33710,-173.0,174
106,33950,-237.0,238
107,34240,-294.0,295
108,34380,-136.0,137
109,34510,-127.0,128
110,34720,-216.0,217
111,34850,-130.0,131
112,35070,-213.0,214
113,35520,-451.0,452
114,35760,-237.0,238
115,35980,-225.0,226
116,36110,-124.0,125
117,36220,-108.0,109
118,36370,-147.0,148
119,36520,-149.0,150
120,36880,-364.0,365
121,37070,-192.0,193
122,37320,-242.0,243
123,37700,-381.0,382
124,37870,-170.0,171
125,38200,-326.0,327
126,38340,-142.0,143
127,38750,-410.0,411
128,39250,-500.0,500
129,39500,-245.0,246
130,40000,-500.0,500
131,40250,-250.0,251
132,40380,-131.0,132
133,40590,-212.0,213
134,40770,-173.0,174
135,41000,-233.0,234
136,41260,-254.0,255
137,41400,-140.0,141
138,41700,-300.0,301
139,41970,-269.0,270
140,42470,-498.0,499
141,42770,-306.0,307
142,43040,-267.0,268
143,43270,-223.0,224
144,43510,-238.0,239
145,44010,-500.0,500
146,44230,-227.0,228
147,44380,-143.0,144
148,44820,-440.0,441
149,45130,-314.0,315
150,45370,-240.0,241
151,45510,-131.0,132
152,45740,-233.0,234
153,45860,-122.0,123
154,46100,-234.0,235
155,46270,-171.0,172
156,46490,-218.0,219
157,46740,-252.0,253
158,47030,-291.0,292
159,47290,-258.0,259
160,47590,-296.0,297
161,48040,-450.0,451
162,48270,-232.0,233
163,48510,-239.0,240
164,48780,-265.0,266
165,49280,-500.0,500
166,49580,-297.0,298
167,50000,-420.0,421
168,50230,-225.0,226
169,50580,-352.0,353
170,50680,-98.0,99
171,50800,-120.0,121
172,51040,-236.0,237
173,51360,-326.0,327
174,51660,-296.0,297
175,52080,-416.0,417
176,52320,-244.0,245
177,52460,-138.0,139
178,52570,-112.0,113
179,52710,-138.0,139
180,52820,-105.0,106
181,53150,-334.0,335
182,53240,-89.0,90
183,53380,-140.0,141
184,53520,-137.0,138
185,53750,-231.0,232
186,53960,-204.0,205
187,54140,-176.0,177
188,54350,-214.0,215
189,54530,-182.0,183
190,54850,-318.0,319
191,54990,-133.0,134
192,55260,-268.0,269
193,55620,-359.0,360
194,55800,-187.0,188
195,56050,-241.0,242
196,56290,-246.0,247
197,56470,-179.0,180
198,56660,-189.0,190
199,57150,-489.0,490
200,57300,-141.0,142
201,57480,-183.0,184
202,57610,-129.0,130
203,57830,-220.0,221
204,57980,-153.0,154
205,58230,-242.0,243
206,58490,-257.0,258
207,58710,-227.0,228
208,58830,-114.0,115
209,58990,-158.0,159
210,59200,-215.0,216
211,59490,-290.0,291
212,59750,-258.0,259
213,59910,-155.0,156
214,60100,-194.0,195
215,60280,-173.0,174
216,60450,-171.0,172
217,60550,-97.0,98
218,60800,-249.0,250
219,61120,-320.0,321
220,61380,-260.0,261
221,61500,-123.0,124
222,61760,-257.0,258
223,61990,-228.0,229
224,62110,-121.0,122
225,62270,-158.0,159
226,62390,-121.0,122
227,62760,-361.0,362
228,63000,-241.0,242
229,63180,-181.0,182
230,63540,-355.0,356
231,63670,-130.0,131
232,63770,-100.0,101
233,64060,-294.0,295
234,64350,-286.0,287
235,64620,-264.0,265
236,64800,-179.0,180
237,64980,-179.0,180
238,65080,-100.0,101
239,65270,-189.0,190
240,65410,-144.0,145
241,65550,-136.0,137
242,65660,-109.0,110
243,65800,-138.0,139
244,65940,-142.0,143
245,66290,-346.0,347
246,66420,-129.0,130
247,66750,-334.0,335
248,66970,-220.0,221
249,67080,-108.0,109
250,67580,-500.0,500
251,67840,-259.0,260
252,68090,-245.0,246
253,68250,-162.0,163
254,68750,-500.0,500
255,68880,-132.0,133
