evaluation_seed,episode_return,episode_length
20000,-75.0,76
20001,-101.0,102
20002,-77.0,78
20003,-80.0,81
20004,-91.0,92
20005,-84.0,85
20006,-97.0,98
20007,-64.0,65
20008,-72.0,73
20009,-80.0,81
20010,-88.0,89
20011,-108.0,109
20012,-86.0,87
20013,-82.0,83
20014,-71.0,72
20015,-90.0,91
20016,-90.0,91
20017,-79.0,80
20018,-91.0,92
20019,-116.0,117
20020,-91.0,92
20021,-76.0,77
20022,-85.0,86
20023,-96.0,97
20024,-115.0,116
20025,-75.0,76
20026,-93.0,94
20027,-80.0,81
20028,-92.0,93
20029,-64.0,65
20030,-80.0,81
20031,-75.0,76
20032,-76.0,77
20033,-76.0,77
20034,-92.0,93
20035,-91.0,92
20036,-91.0,92
20037,-69.0,70
20038,-110.0,111
20039,-72.0,73
20040,-71.0,72
20041,-89.0,90
20042,-79.0,80
20043,-79.0,80
20044,-96.0,97
20045,-65.0,66
20046,-88.0,89
20047,-75.0,76
20048,-80.0,81
20049,-97.0,98
20050,-76.0,77
20051,-76.0,77
20052,-71.0,72
20053,-78.0,79
20054,-105.0,106
20055,-76.0,77
20056,-93.0,94
20057,-85.0,86
20058,-92.0,93
20059,-76.0,77
20060,-84.0,85
20061,-91.0,92
20062,-94.0,95
20063,-76.0,77
20064,-113.0,114
20065,-74.0,75
20066,-64.0,65
20067,-76.0,77
20068,-76.0,77
20069,-89.0,90
20070,-89.0,90
20071,-89.0,90
20072,-77.0,78
20073,-115.0,116
20074,-93.0,94
20075,-110.0,111
20076,-93.0,94
20077,-84.0,85
20078,-81.0,82
20079,-111.0,112
20080,-73.0,74
20081,-94.0,95
20082,-75.0,76
20083,-77.0,78
20084,-91.0,92
20085,-117.0,118
20086,-76.0,77
20087,-76.0,77
20088,-97.0,98
20089,-94.0,95
20090,-127.0,128
20091,-91.0,92
20092,-79.0,80
20093,-76.0,77
20094,-91.0,92
20095,-76.0,77
20096,-75.0,76
20097,-120.0,121
20098,-80.0,81
20099,-76.0,77
