environment_step,episode_id,evaluation_seed,episode_return,episode_length
0,0,10000,17.0,17
0,1,10001,10.0,10
0,2,10002,9.0,9
0,3,10003,14.0,14
0,4,10004,10.0,10
0,5,10005,14.0,14
0,6,10006,18.0,18
0,7,10007,10.0,10
0,8,10008,16.0,16
0,9,10009,9.0,9
5000,0,10000,19.0,19
5000,1,10001,19.0,19
5000,2,10002,18.0,18
5000,3,10003,28.0,28
5000,4,10004,18.0,18
5000,5,10005,30.0,30
5000,6,10006,25.0,25
5000,7,10007,18.0,18
5000,8,10008,37.0,37
5000,9,10009,29.0,29
10000,0,10000,276.0,276
10000,1,10001,247.0,247
10000,2,10002,284.0,284
10000,3,10003,323.0,323
10000,4,10004,301.0,301
10000,5,10005,252.0,252
10000,6,10006,222.0,222
10000,7,10007,283.0,283
10000,8,10008,319.0,319
10000,9,10009,249.0,249
15000,0,10000,370.0,370
15000,1,10001,268.0,268
15000,2,10002,405.0,405
15000,3,10003,143.0,143
15000,4,10004,240.0,240
15000,5,10005,254.0,254
15000,6,10006,253.0,253
15000,7,10007,267.0,267
15000,8,10008,227.0,227
15000,9,10009,260.0,260
20000,0,10000,207.0,207
20000,1,10001,211.0,211
20000,2,10002,207.0,207
20000,3,10003,264.0,264
20000,4,10004,218.0,218
20000,5,10005,218.0,218
20000,6,10006,186.0,186
20000,7,10007,215.0,215
20000,8,10008,222.0,222
20000,9,10009,214.0,214
25000,0,10000,183.0,183
25000,1,10001,185.0,185
25000,2,10002,183.0,183
25000,3,10003,221.0,221
25000,4,10004,192.0,192
25000,5,10005,192.0,192
25000,6,10006,173.0,173
25000,7,10007,188.0,188
25000,8,10008,198.0,198
25000,9,10009,189.0,189
30000,0,10000,178.0,178
30000,1,10001,180.0,180
30000,2,10002,181.0,181
30000,3,10003,224.0,224
30000,4,10004,187.0,187
30000,5,10005,191.0,191
30000,6,10006,169.0,169
30000,7,10007,185.0,185
30000,8,10008,193.0,193
30000,9,10009,184.0,184
35000,0,10000,189.0,189
35000,1,10001,198.0,198
35000,2,10002,192.0,192
35000,3,10003,271.0,271
35000,4,10004,204.0,204
35000,5,10005,205.0,205
35000,6,10006,178.0,178
35000,7,10007,200.0,200
35000,8,10008,206.0,206
35000,9,10009,196.0,196
40000,0,10000,194.0,194
40000,1,10001,201.0,201
40000,2,10002,195.0,195
40000,3,10003,267.0,267
40000,4,10004,208.0,208
40000,5,10005,207.0,207
40000,6,10006,181.0,181
40000,7,10007,203.0,203
40000,8,10008,211.0,211
40000,9,10009,200.0,200
45000,0,10000,195.0,195
45000,1,10001,200.0,200
45000,2,10002,194.0,194
45000,3,10003,267.0,267
45000,4,10004,208.0,208
45000,5,10005,208.0,208
45000,6,10006,181.0,181
45000,7,10007,203.0,203
45000,8,10008,212.0,212
45000,9,10009,203.0,203
50000,0,10000,190.0,190
50000,1,10001,197.0,197
50000,2,10002,190.0,190
50000,3,10003,265.0,265
50000,4,10004,202.0,202
50000,5,10005,203.0,203
50000,6,10006,177.0,177
50000,7,10007,199.0,199
50000,8,10008,206.0,206
50000,9,10009,196.0,196
