episode,ending_environment_step,episode_return,episode_length
0,10,9.0,9
1,30,14.0,14
2,50,23.0,23
3,60,10.0,10
4,80,17.0,17
5,90,14.0,14
6,100,13.0,13
7,130,22.0,22
8,160,33.0,33
9,180,16.0,16
10,210,31.0,31
11,240,33.0,33
12,260,17.0,17
13,330,76.0,76
14,370,40.0,40
15,390,16.0,16
16,400,16.0,16
17,420,17.0,17
18,430,10.0,10
19,460,24.0,24
20,470,18.0,18
21,490,16.0,16
22,550,65.0,65
23,570,14.0,14
24,600,33.0,33
25,620,14.0,14
26,630,19.0,19
27,650,17.0,17
28,670,16.0,16
29,690,18.0,18
30,700,16.0,16
31,730,25.0,25
32,740,14.0,14
33,750,10.0,10
34,770,17.0,17
35,790,22.0,22
36,820,28.0,28
37,840,19.0,19
38,860,26.0,26
39,900,40.0,40
40,920,21.0,21
41,950,22.0,22
42,970,27.0,27
43,990,19.0,19
44,1020,27.0,27
45,1030,8.0,8
46,1040,9.0,9
47,1050,19.0,19
48,1070,13.0,13
49,1080,13.0,13
50,1090,10.0,10
51,1100,10.0,10
52,1110,10.0,10
53,1120,9.0,9
54,1130,9.0,9
55,1140,8.0,8
56,1150,9.0,9
57,1160,10.0,10
58,1170,10.0,10
59,1170,8.0,8
60,1180,11.0,11
61,1190,10.0,10
62,1200,9.0,9
63,1230,26.0,26
64,1240,9.0,9
65,1250,8.0,8
66,1260,9.0,9
67,1260,9.0,9
68,1270,8.0,8
69,1280,10.0,10
70,1290,10.0,10
71,1300,9.0,9
72,1310,8.0,8
73,1320,10.0,10
74,1330,10.0,10
75,1340,15.0,15
76,1410,70.0,70
77,1430,20.0,20
78,1450,18.0,18
79,1470,18.0,18
80,1490,17.0,17
81,1500,17.0,17
82,1520,14.0,14
83,1530,16.0,16
84,1560,22.0,22
85,1580,27.0,27
86,1600,17.0,17
87,1610,14.0,14
88,1630,20.0,20
89,1650,16.0,16
90,1670,15.0,15
91,1680,16.0,16
92,1690,11.0,11
93,1700,11.0,11
94,1720,15.0,15
95,1730,13.0,13
96,1740,10.0,10
97,1750,10.0,10
98,1760,11.0,11
99,1780,13.0,13
100,1790,11.0,11
101,1800,10.0,10
102,1810,12.0,12
103,1820,11.0,11
104,1830,14.0,14
105,1850,14.0,14
106,1860,17.0,17
107,1880,15.0,15
108,1890,12.0,12
109,1900,8.0,8
110,1910,14.0,14
111,1930,14.0,14
112,1940,11.0,11
113,1960,18.0,18
114,1970,16.0,16
115,1980,11.0,11
116,1990,10.0,10
117,2000,11.0,11
118,2020,13.0,13
119,2030,14.0,14
120,2040,10.0,10
121,2050,9.0,9
122,2060,10.0,10
123,2070,9.0,9
124,2080,9.0,9
125,2090,10.0,10
126,2100,8.0,8
127,2110,10.0,10
128,2120,10.0,10
129,2130,10.0,10
130,2140,15.0,15
131,2180,35.0,35
132,2190,11.0,11
133,2200,10.0,10
134,2210,8.0,8
135,2210,9.0,9
136,2230,11.0,11
137,2240,12.0,12
138,2250,15.0,15
139,2270,17.0,17
140,2310,41.0,41
141,2330,15.0,15
142,2340,14.0,14
143,2350,14.0,14
144,2360,10.0,10
145,2370,11.0,11
146,2390,13.0,13
147,2400,13.0,13
148,2410,10.0,10
149,2430,16.0,16
150,2440,11.0,11
151,2450,13.0,13
152,2470,17.0,17
153,2480,10.0,10
154,2490,9.0,9
155,2490,8.0,8
156,2510,11.0,11
157,2520,10.0,10
158,2530,11.0,11
159,2540,13.0,13
160,2550,9.0,9
161,2560,11.0,11
162,2570,11.0,11
163,2580,9.0,9
164,2590,9.0,9
165,2600,9.0,9
166,2610,10.0,10
167,2620,8.0,8
168,2630,10.0,10
169,2630,9.0,9
170,2650,11.0,11
171,2660,11.0,11
172,2670,10.0,10
173,2680,10.0,10
174,2680,8.0,8
175,2690,9.0,9
176,2700,10.0,10
177,2710,9.0,9
178,2720,8.0,8
179,2730,9.0,9
180,2740,9.0,9
181,2750,12.0,12
182,2760,13.0,13
183,2780,19.0,19
184,2830,50.0,50
185,2850,17.0,17
186,2860,9.0,9
187,2870,10.0,10
188,2880,10.0,10
189,2890,9.0,9
190,2900,10.0,10
191,2910,11.0,11
192,2920,10.0,10
193,2930,10.0,10
194,2940,10.0,10
195,2950,9.0,9
196,2960,9.0,9
197,2970,9.0,9
198,2980,10.0,10
199,2990,11.0,11
200,3000,11.0,11
201,3010,10.0,10
202,3020,10.0,10
203,3030,8.0,8
204,3030,9.0,9
205,3040,10.0,10
206,3050,9.0,9
207,3060,10.0,10
208,3070,10.0,10
209,3080,9.0,9
210,3090,10.0,10
211,3100,9.0,9
212,3110,10.0,10
213,3120,10.0,10
214,3130,10.0,10
215,3140,10.0,10
216,3150,9.0,9
217,3160,8.0,8
218,3170,9.0,9
219,3180,9.0,9
220,3190,9.0,9
221,3190,8.0,8
222,3200,10.0,10
223,3210,10.0,10
224,3220,9.0,9
225,3230,10.0,10
226,3240,10.0,10
227,3250,10.0,10
228,3260,9.0,9
229,3270,8.0,8
230,3280,10.0,10
231,3290,9.0,9
232,3300,10.0,10
233,3310,10.0,10
234,3320,9.0,9
235,3330,9.0,9
236,3340,10.0,10
237,3350,9.0,9
238,3350,9.0,9
239,3360,8.0,8
240,3370,9.0,9
241,3380,10.0,10
242,3390,8.0,8
243,3400,11.0,11
244,3410,11.0,11
245,3420,12.0,12
246,3440,14.0,14
247,3450,12.0,12
248,3460,14.0,14
249,3480,15.0,15
250,3490,16.0,16
251,3500,10.0,10
252,3510,8.0,8
253,3520,9.0,9
254,3530,10.0,10
255,3540,10.0,10
256,3550,8.0,8
257,3560,8.0,8
258,3570,9.0,9
259,3580,12.0,12
260,3590,10.0,10
261,3600,10.0,10
262,3610,9.0,9
263,3620,10.0,10
264,3630,9.0,9
265,3640,10.0,10
266,3650,9.0,9
267,3650,9.0,9
268,3660,10.0,10
269,3670,10.0,10
270,3680,10.0,10
271,3700,11.0,11
272,3710,10.0,10
273,3710,9.0,9
274,3720,10.0,10
275,3730,9.0,9
276,3740,9.0,9
277,3750,10.0,10
278,3760,10.0,10
279,3770,8.0,8
280,3780,10.0,10
281,3790,9.0,9
282,3800,9.0,9
283,3810,8.0,8
284,3810,8.0,8
285,3820,8.0,8
286,3830,8.0,8
287,3840,10.0,10
288,3850,9.0,9
289,3860,9.0,9
290,3870,9.0,9
291,3880,10.0,10
292,3890,9.0,9
293,3900,10.0,10
294,3910,9.0,9
295,3920,10.0,10
296,3930,10.0,10
297,3930,9.0,9
298,3940,10.0,10
