episode,ending_environment_step,episode_return,episode_length
0,30,27.0,27
1,50,18.0,18
2,70,16.0,16
3,80,17.0,17
4,100,17.0,17
5,120,23.0,23
6,140,19.0,19
7,160,14.0,14
8,170,14.0,14
9,200,27.0,27
10,210,10.0,10
11,220,14.0,14
12,240,17.0,17
13,260,20.0,20
14,290,36.0,36
15,320,30.0,30
16,340,19.0,19
17,370,29.0,29
18,390,22.0,22
19,410,16.0,16
20,420,14.0,14
21,440,12.0,12
22,450,14.0,14
23,460,14.0,14
24,490,31.0,31
25,510,18.0,18
26,520,12.0,12
27,540,14.0,14
28,560,18.0,18
29,580,25.0,25
30,610,29.0,29
31,620,14.0,14
32,690,62.0,62
33,710,26.0,26
34,740,30.0,30
35,760,21.0,21
36,770,11.0,11
37,790,12.0,12
38,810,25.0,25
39,840,25.0,25
40,870,32.0,32
41,890,20.0,20
42,900,9.0,9
43,930,28.0,28
44,970,42.0,42
45,1000,33.0,33
46,1020,15.0,15
47,1020,8.0,8
48,1030,10.0,10
49,1040,10.0,10
50,1050,10.0,10
51,1060,10.0,10
52,1070,9.0,9
53,1080,9.0,9
54,1090,8.0,8
55,1100,9.0,9
56,1110,10.0,10
57,1120,10.0,10
58,1130,8.0,8
59,1140,11.0,11
60,1150,10.0,10
61,1160,9.0,9
62,1170,9.0,9
63,1180,10.0,10
64,1190,10.0,10
65,1200,10.0,10
66,1210,10.0,10
67,1220,11.0,11
68,1230,9.0,9
69,1230,8.0,8
70,1260,29.0,29
71,1270,8.0,8
72,1280,10.0,10
73,1290,10.0,10
74,1300,10.0,10
75,1310,9.0,9
76,1320,9.0,9
77,1330,9.0,9
78,1340,9.0,9
79,1350,9.0,9
80,1350,9.0,9
81,1360,10.0,10
82,1370,10.0,10
83,1460,83.0,83
84,1480,19.0,19
85,1490,13.0,13
86,1500,12.0,12
87,1520,15.0,15
88,1530,16.0,16
89,1550,15.0,15
90,1570,21.0,21
91,1590,19.0,19
92,1630,45.0,45
93,1640,8.0,8
94,1650,9.0,9
95,1660,10.0,10
96,1690,29.0,29
97,1710,17.0,17
98,1720,15.0,15
99,1730,13.0,13
100,1740,10.0,10
101,1760,12.0,12
