environment_step,episode_id,evaluation_seed,episode_return,episode_length
0,0,10000,17.0,17
0,1,10001,10.0,10
0,2,10002,9.0,9
0,3,10003,14.0,14
0,4,10004,10.0,10
0,5,10005,14.0,14
0,6,10006,18.0,18
0,7,10007,10.0,10
0,8,10008,16.0,16
0,9,10009,9.0,9
5000,0,10000,22.0,22
5000,1,10001,21.0,21
5000,2,10002,23.0,23
5000,3,10003,31.0,31
5000,4,10004,23.0,23
5000,5,10005,31.0,31
5000,6,10006,21.0,21
5000,7,10007,22.0,22
5000,8,10008,27.0,27
5000,9,10009,25.0,25
10000,0,10000,167.0,167
10000,1,10001,170.0,170
10000,2,10002,168.0,168
10000,3,10003,213.0,213
10000,4,10004,175.0,175
10000,5,10005,176.0,176
10000,6,10006,150.0,150
10000,7,10007,174.0,174
10000,8,10008,180.0,180
10000,9,10009,174.0,174
15000,0,10000,237.0,237
15000,1,10001,244.0,244
15000,2,10002,242.0,242
15000,3,10003,337.0,337
15000,4,10004,262.0,262
15000,5,10005,250.0,250
15000,6,10006,215.0,215
15000,7,10007,254.0,254
15000,8,10008,257.0,257
15000,9,10009,246.0,246
20000,0,10000,231.0,231
20000,1,10001,240.0,240
20000,2,10002,238.0,238
20000,3,10003,382.0,382
20000,4,10004,266.0,266
20000,5,10005,249.0,249
20000,6,10006,212.0,212
20000,7,10007,257.0,257
20000,8,10008,255.0,255
20000,9,10009,241.0,241
25000,0,10000,252.0,252
25000,1,10001,265.0,265
25000,2,10002,261.0,261
25000,3,10003,340.0,340
25000,4,10004,300.0,300
25000,5,10005,269.0,269
25000,6,10006,223.0,223
25000,7,10007,279.0,279
25000,8,10008,285.0,285
25000,9,10009,267.0,267
30000,0,10000,216.0,216
30000,1,10001,222.0,222
30000,2,10002,217.0,217
30000,3,10003,269.0,269
30000,4,10004,227.0,227
30000,5,10005,231.0,231
30000,6,10006,201.0,201
30000,7,10007,225.0,225
30000,8,10008,233.0,233
30000,9,10009,224.0,224
35000,0,10000,203.0,203
35000,1,10001,206.0,206
35000,2,10002,203.0,203
35000,3,10003,239.0,239
35000,4,10004,212.0,212
35000,5,10005,213.0,213
35000,6,10006,191.0,191
35000,7,10007,208.0,208
35000,8,10008,216.0,216
35000,9,10009,208.0,208
40000,0,10000,209.0,209
40000,1,10001,212.0,212
40000,2,10002,208.0,208
40000,3,10003,260.0,260
40000,4,10004,220.0,220
40000,5,10005,219.0,219
40000,6,10006,194.0,194
40000,7,10007,217.0,217
40000,8,10008,226.0,226
40000,9,10009,216.0,216
45000,0,10000,168.0,168
45000,1,10001,170.0,170
45000,2,10002,166.0,166
45000,3,10003,189.0,189
45000,4,10004,173.0,173
45000,5,10005,173.0,173
45000,6,10006,158.0,158
45000,7,10007,171.0,171
45000,8,10008,176.0,176
45000,9,10009,171.0,171
50000,0,10000,176.0,176
50000,1,10001,179.0,179
50000,2,10002,176.0,176
50000,3,10003,202.0,202
50000,4,10004,183.0,183
50000,5,10005,183.0,183
50000,6,10006,168.0,168
50000,7,10007,180.0,180
50000,8,10008,186.0,186
50000,9,10009,180.0,180
