environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples
1000,94,-0.030417844653129578,0.017491910606622696,-0.07791037857532501,-0.030417844653129578,0.030417844653129578,0.1164919106066227,0.1164919106066227,0.022089621424674993,0.022089621424674993,1,0.8068592057761733,447,252,194
2000,194,0.024296464398503304,0.029865726828575134,-0.13951057195663452,0.024296464398503304,0.024296464398503304,0.12886572682857514,0.12886572682857514,-0.039510571956634516,0.039510571956634516,1,0.8115942028985508,896,609,287
3000,294,-0.01225761417299509,0.06527075916528702,-0.10107088834047318,-0.01225761417299509,0.01225761417299509,0.16427075916528702,0.16427075916528702,-0.0010708883404731695,0.0010708883404731695,1,0.8472906403940886,1376,976,400
4000,394,0.04400798678398132,-0.09865045547485352,-0.08164770901203156,0.04400798678398132,0.04400798678398132,0.00034954452514648904,0.00034954452514648904,0.01835229098796845,0.01835229098796845,0,0.6359918200408998,1555,1135,420
5000,494,0.025296330451965332,-0.17067787051200867,-0.08387149125337601,0.025296330451965332,0.025296330451965332,-0.07167787051200866,0.07167787051200866,0.016128508746624,0.016128508746624,0,0.4740566037735849,1608,1166,442
6000,594,0.009153748862445354,-0.13122202455997467,-0.13729465007781982,0.009153748862445354,0.009153748862445354,-0.032222024559974666,0.032222024559974666,-0.03729465007781982,0.03729465007781982,0,0.38153350218742804,1657,1207,450
7000,694,-0.020822715014219284,-0.12586379051208496,-0.14575409889221191,-0.020822715014219284,0.020822715014219284,-0.026863790512084956,0.026863790512084956,-0.04575409889221191,0.04575409889221191,0,0.32269034573965616,1708,1255,452
8000,794,0.0066754561848938465,-0.15388628840446472,-0.07826743274927139,0.0066754561848938465,0.0066754561848938465,-0.05488628840446472,0.05488628840446472,0.021732567250728613,0.021732567250728613,0,0.28205128205128205,1760,1303,457
9000,894,-0.010042337700724602,-0.17590729892253876,-0.07993088662624359,-0.010042337700724602,0.010042337700724602,-0.07690729892253875,0.07690729892253875,0.020069113373756414,0.020069113373756414,0,0.2517385257301808,1810,1333,477
10000,994,-0.00035321712493896484,-0.15371127426624298,-0.13029518723487854,-0.00035321712493896484,0.00035321712493896484,-0.054711274266242976,0.054711274266242976,-0.030295187234878534,0.030295187234878534,0,0.22940742562085076,1866,1346,520
11000,1094,-0.001832648180425167,-0.17596659064292908,-0.04366077482700348,-0.001832648180425167,0.001832648180425167,-0.07696659064292907,0.07696659064292907,0.05633922517299653,0.05633922517299653,0,0.21092029942756496,1916,1370,546
