environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
1000,94,-0.0009655319154262543,0.05135606229305267,0.379096120595932,-0.0009655319154262543,0.0009655319154262543,0.15035606229305268,0.15035606229305268,0.479096120595932,0.479096120595932,1,0.33511348464619495,251,1,0,0,0,2,6,0,57,1,0,0,0,0,2,13,0,1,0,6,1,0,0,1,0,0,1,0,0,1,0,29,36,0,0,21,0,5,0,5,26,1,1,0,8,0,0,17,7,2,0
2000,194,-0.004897460341453552,-0.1550271362066269,0.1710626482963562,-0.004897460341453552,0.004897460341453552,-0.05602713620662689,0.05602713620662689,0.2710626482963562,0.2710626482963562,0,0.2422360248447205,390,1,0,0,0,22,6,0,58,1,0,0,0,0,3,13,2,1,0,6,23,5,0,4,0,0,1,8,0,1,1,29,36,0,0,21,0,5,0,5,27,1,17,0,33,0,0,18,40,2,0
3000,294,0.0025009885430336,-0.004672023467719555,0.2376292198896408,0.0025009885430336,0.0025009885430336,0.09432797653228045,0.09432797653228045,0.3376292198896408,0.3376292198896408,0,0.21547185095180235,532,1,0,0,0,22,7,23,58,1,0,0,0,1,3,13,2,6,2,6,23,14,1,4,0,25,1,8,0,2,2,29,37,0,0,22,0,37,0,5,27,1,17,0,46,0,1,19,63,2,0
4000,394,-0.01183212548494339,0.026222677901387215,0.23415152728557587,-0.01183212548494339,0.01183212548494339,0.12522267790138722,0.12522267790138722,0.33415152728557584,0.33415152728557584,1,0.29198966408268734,904,1,1,0,2,22,9,24,59,2,0,0,0,256,5,14,2,6,4,7,24,15,2,5,1,27,2,11,1,5,3,29,37,2,0,22,2,37,76,5,27,1,18,1,48,0,1,19,66,2,1
5000,494,-0.0020778700709342957,-0.2197030633687973,0.3663945496082306,-0.0020778700709342957,0.0020778700709342957,-0.1207030633687973,0.1207030633687973,0.46639454960823057,0.46639454960823057,0,0.24688279301745636,990,1,1,0,2,22,10,24,61,2,0,0,1,256,6,14,2,6,4,7,24,15,2,5,45,28,2,11,1,5,3,29,37,3,0,22,2,37,105,7,27,2,18,1,49,0,2,19,67,2,1
6000,594,0.0006624162197113037,-0.19782604277133942,0.22604191303253174,0.0006624162197113037,0.0006624162197113037,-0.09882604277133941,0.09882604277133941,0.3260419130325317,0.3260419130325317,0,0.20700060350030175,1029,2,2,0,26,22,10,24,61,2,0,0,1,256,6,14,2,6,4,7,24,15,2,5,55,28,2,11,1,5,3,29,38,3,0,23,2,37,105,7,27,2,18,1,49,0,3,19,67,2,1
7000,694,-0.008749108761548996,0.18435505032539368,0.09455883502960205,-0.008749108761548996,0.008749108761548996,0.28335505032539365,0.28335505032539365,0.19455883502960206,0.19455883502960206,1,0.2152777777777778,1240,2,3,0,27,22,10,24,63,2,0,0,1,260,38,15,2,6,5,7,24,15,2,5,138,28,2,11,20,5,4,30,38,4,13,23,3,64,105,8,48,2,18,1,49,0,3,19,67,3,1
8000,794,-0.01606651395559311,-0.05088646709918976,0.1207653135061264,-0.01606651395559311,0.01606651395559311,0.048113532900810246,0.048113532900810246,0.2207653135061264,0.2207653135061264,0,0.20827669536323817,1379,2,3,0,65,22,10,31,93,3,0,0,1,260,87,15,2,6,7,8,24,15,2,6,138,28,2,11,20,5,4,30,38,5,13,24,3,65,105,9,48,2,18,2,49,0,3,20,70,3,2
9000,894,-0.0049162255600094795,-0.30722373723983765,0.06662262976169586,-0.0049162255600094795,0.0049162255600094795,-0.20822373723983764,0.20822373723983764,0.16662262976169587,0.16662262976169587,0,0.18984664198836596,1436,3,3,0,65,22,11,48,93,3,0,0,1,261,87,15,2,7,7,8,25,44,2,6,138,28,2,11,20,5,4,30,38,6,13,27,3,65,105,9,48,2,18,2,49,0,3,20,71,3,3
10000,994,-0.0010920614004135132,-0.04046466201543808,0.06809940934181213,-0.0010920614004135132,0.0010920614004135132,0.058535337984561925,0.058535337984561925,0.16809940934181214,0.16809940934181214,0,0.17329578786812155,1477,3,3,0,65,44,11,48,93,3,1,1,1,261,87,15,2,7,7,8,25,44,2,6,138,28,2,11,20,5,5,30,39,19,13,28,3,65,105,9,49,2,18,2,49,0,3,20,71,3,3
