environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples
1000,94,0.018349960446357727,0.004546541254967451,-0.05708849057555199,0.018349960446357727,0.018349960446357727,0.10354654125496746,0.10354654125496746,0.04291150942444802,0.04291150942444802,0,0.3869625520110957,279,25,115,2,1,48,39,17,4,1,27
2000,194,0.010947689414024353,-0.06328470259904861,-0.07075390219688416,0.010947689414024353,0.010947689414024353,0.03571529740095139,0.03571529740095139,0.02924609780311585,0.02924609780311585,0,0.40350877192982454,575,87,180,8,8,72,43,19,7,5,146
3000,294,0.005701400339603424,-0.022916868329048157,0.19660766422748566,0.005701400339603424,0.005701400339603424,0.07608313167095185,0.07608313167095185,0.29660766422748563,0.29660766422748563,0,0.28369704749679076,663,90,180,37,8,73,43,20,7,6,199
4000,394,-0.020627237856388092,0.004610677715390921,-0.016068611294031143,-0.020627237856388092,0.020627237856388092,0.10361067771539093,0.10361067771539093,0.08393138870596886,0.08393138870596886,1,0.30538336052202286,936,160,184,41,13,185,44,25,9,8,266
5000,494,0.005686342716217041,-0.025075826793909073,-0.030180301517248154,0.005686342716217041,0.005686342716217041,0.07392417320609093,0.07392417320609093,0.06981969848275185,0.06981969848275185,0,0.24781632143748442,993,161,184,41,14,185,48,25,9,19,307
6000,594,-0.011056430637836456,-0.03959757089614868,-0.07674828916788101,-0.011056430637836456,0.011056430637836456,0.05940242910385132,0.05940242910385132,0.023251710832118994,0.023251710832118994,0,0.2106537530266344,1044,162,185,43,15,186,48,26,9,59,311
7000,694,0.014404401183128357,-0.03779860958456993,-0.09569880366325378,0.014404401183128357,0.014404401183128357,0.061201390415430074,0.061201390415430074,0.004301196336746221,0.004301196336746221,0,0.1822327309576085,1079,162,185,43,16,186,48,29,10,75,325
8000,794,-0.0005610436201095581,-0.023570189252495766,0.004478715360164642,-0.0005610436201095581,0.0005610436201095581,0.07542981074750424,0.07542981074750424,0.10447871536016465,0.10447871536016465,0,0.21175401393517115,1398,175,378,49,54,188,49,33,12,78,382
9000,894,0.002819269895553589,-0.06783857941627502,-0.0763104110956192,0.002819269895553589,0.002819269895553589,0.03116142058372498,0.03116142058372498,0.023689588904380804,0.023689588904380804,0,0.1917372881355932,1448,175,379,50,78,189,49,33,12,78,405
10000,994,-0.0036781877279281616,-0.03910711035132408,-0.09353674203157425,-0.0036781877279281616,0.0036781877279281616,0.05989288964867592,0.05989288964867592,0.006463257968425756,0.006463257968425756,0,0.17660901282503824,1501,176,380,51,113,189,64,33,12,78,405
11000,1094,-0.007385537028312683,-0.06963694840669632,0.05219241604208946,-0.007385537028312683,0.007385537028312683,0.029363051593303685,0.029363051593303685,0.15219241604208947,0.15219241604208947,0,0.16242206488428618,1537,178,380,51,113,189,64,33,13,111,405
12000,1194,-0.004901893436908722,-0.09548255801200867,0.0898464098572731,-0.004901893436908722,0.004901893436908722,0.0035174419879913377,0.0035174419879913377,0.1898464098572731,0.1898464098572731,0,0.15207373271889402,1584,178,381,52,113,189,65,34,13,154,405
13000,1294,-0.0004902482032775879,-0.0724479928612709,0.011542510241270065,-0.0004902482032775879,0.0004902482032775879,0.0265520071387291,0.0265520071387291,0.11154251024127007,0.11154251024127007,0,0.1448701012769705,1645,178,382,53,113,190,66,34,14,210,405
14000,1394,0.0008448436856269836,-0.07682108879089355,-0.011338962242007256,0.0008448436856269836,0.0008448436856269836,0.02217891120910645,0.02217891120910645,0.08866103775799275,0.08866103775799275,0,0.13830392714854867,1701,178,382,53,118,192,67,34,16,254,407
15000,1494,-0.007232114672660828,-0.14805787801742554,-0.11440112441778183,-0.007232114672660828,0.007232114672660828,-0.04905787801742553,0.04905787801742553,-0.014401124417781824,0.014401124417781824,0,0.1315630657815329,1744,178,382,53,118,192,67,48,16,283,407
16000,1594,-0.0014600828289985657,-0.14149028062820435,-0.04371607303619385,-0.0014600828289985657,0.0014600828289985657,-0.04249028062820434,0.04249028062820434,0.05628392696380616,0.05628392696380616,0,0.12549240292628025,1784,179,386,53,118,192,67,81,16,284,408
17000,1694,-0.006054088473320007,-0.14213979244232178,0.04245637357234955,-0.006054088473320007,0.006054088473320007,-0.04313979244232177,0.04313979244232177,0.14245637357234955,0.14245637357234955,0,0.1210762331838565,1836,179,389,53,119,193,67,126,16,286,408
18000,1794,0.0063762180507183075,-0.15328873693943024,0.06524649262428284,0.0063762180507183075,0.0063762180507183075,-0.05428873693943023,0.05428873693943023,0.16524649262428284,0.16524649262428284,0,0.11634830066980897,1876,181,390,53,119,193,67,163,16,286,408
19000,1894,-0.002932492643594742,-0.08296613395214081,0.008146864362061024,-0.002932492643594742,0.002932492643594742,0.016033866047859197,0.016033866047859197,0.10814686436206103,0.10814686436206103,0,0.11234705228031146,1919,182,390,53,119,193,67,186,17,303,409
20000,1994,0.0003220401704311371,-0.07574216276407242,0.0653495267033577,0.0003220401704311371,0.0003220401704311371,0.023257837235927586,0.023257837235927586,0.1653495267033577,0.1653495267033577,0,0.10907780180779682,1967,182,391,53,119,193,68,186,18,348,409
21000,2094,0.0011071562767028809,0.05559685453772545,0.008436174131929874,0.0011071562767028809,0.0011071562767028809,0.15459685453772545,0.15459685453772545,0.10843617413192988,0.10843617413192988,1,0.11880660628662759,2230,188,395,58,120,196,75,188,21,578,411
22000,2194,-0.0016661882400512695,-0.00706150196492672,-0.05069577693939209,-0.0016661882400512695,0.0016661882400512695,0.09193849803507328,0.09193849803507328,0.049304223060607916,0.049304223060607916,0,0.13536667182742426,2623,189,396,61,125,197,84,521,27,611,412
23000,2294,0.006126426160335541,-0.055543020367622375,0.03218281269073486,0.006126426160335541,0.006126426160335541,0.04345697963237763,0.04345697963237763,0.13218281269073487,0.13218281269073487,0,0.1315491710532789,2674,189,408,62,144,197,85,534,27,613,414
24000,2394,0.0029924120754003525,-0.030874833464622498,0.008287223055958748,0.0029924120754003525,0.0029924120754003525,0.06812516653537751,0.06812516653537751,0.10828722305595875,0.10828722305595875,0,0.1278725504018046,2721,190,408,63,144,197,85,576,28,615,415
