environment_step,learning_update,safe_q,risky_q,maximum_noisy_q,safe_signed_error,safe_absolute_error,risky_signed_error,risky_absolute_error,noisy_signed_error,noisy_absolute_error,greedy_risky_choice,training_risky_fraction,noisy_state_visits,action_0_samples,action_1_samples,action_2_samples,action_3_samples,action_4_samples,action_5_samples,action_6_samples,action_7_samples,action_8_samples,action_9_samples,action_10_samples,action_11_samples,action_12_samples,action_13_samples,action_14_samples,action_15_samples,action_16_samples,action_17_samples,action_18_samples,action_19_samples,action_20_samples,action_21_samples,action_22_samples,action_23_samples,action_24_samples,action_25_samples,action_26_samples,action_27_samples,action_28_samples,action_29_samples,action_30_samples,action_31_samples,action_32_samples,action_33_samples,action_34_samples,action_35_samples,action_36_samples,action_37_samples,action_38_samples,action_39_samples,action_40_samples,action_41_samples,action_42_samples,action_43_samples,action_44_samples,action_45_samples,action_46_samples,action_47_samples,action_48_samples,action_49_samples
1000,94,-0.01014019176363945,0.16606596112251282,0.14056728780269623,-0.01014019176363945,0.01014019176363945,0.2650659611225128,0.2650659611225128,0.24056728780269623,0.24056728780269623,1,0.8315018315018315,454,2,62,2,0,28,1,4,3,1,12,3,3,0,2,3,83,2,0,0,30,1,19,0,1,1,0,23,0,0,1,26,0,1,2,1,26,30,0,0,1,40,0,1,7,0,27,4,0,0,1
2000,194,-0.009110979735851288,0.1891133040189743,0.14941571652889252,-0.009110979735851288,0.009110979735851288,0.2881133040189743,0.2881133040189743,0.24941571652889252,0.24941571652889252,1,0.8930936613055819,944,2,62,3,0,29,2,4,4,2,15,5,3,1,5,6,86,104,0,1,31,3,19,4,1,2,0,25,0,2,46,26,46,113,3,94,28,77,0,1,3,41,0,1,7,0,28,5,0,1,2
3000,294,-0.01312200352549553,0.17506536841392517,0.10017437487840652,-0.01312200352549553,0.01312200352549553,0.27406536841392515,0.27406536841392515,0.20017437487840653,0.20017437487840653,1,0.9041878172588832,1425,5,64,5,1,30,3,4,5,3,16,6,3,1,5,7,87,105,0,1,31,3,19,4,1,3,15,25,25,3,49,26,46,161,4,97,151,200,3,2,3,42,14,1,8,94,29,7,2,1,4
4000,394,0.008676335215568542,0.15833598375320435,0.12151212245225906,0.008676335215568542,0.008676335215568542,0.2573359837532043,0.2573359837532043,0.22151212245225907,0.22151212245225907,1,0.9193857965451055,1916,6,66,8,1,30,5,5,5,94,19,174,4,1,7,7,88,105,2,1,32,4,21,4,3,3,16,25,61,4,51,26,46,162,4,100,151,201,3,2,4,43,14,1,10,94,30,8,158,2,5
5000,494,-0.005419943481683731,0.1587894856929779,0.06800001114606857,-0.005419943481683731,0.005419943481683731,0.2577894856929779,0.2577894856929779,0.16800001114606858,0.16800001114606858,1,0.9242016160061562,2402,7,67,8,1,59,6,7,7,342,21,184,4,1,7,9,88,105,15,2,33,7,22,5,6,5,18,25,61,33,52,29,46,234,6,100,189,202,5,4,4,44,15,1,11,96,31,8,161,2,6
6000,594,-0.0039016753435134888,0.1636275053024292,0.08242074400186539,-0.0039016753435134888,0.0039016753435134888,0.2626275053024292,0.2626275053024292,0.1824207440018654,0.1824207440018654,1,0.9305019305019305,2892,9,67,10,3,59,6,197,9,342,26,188,6,3,8,11,90,105,139,4,33,7,22,6,6,6,18,26,100,69,52,30,46,237,6,102,233,204,7,5,7,45,17,3,12,96,32,11,161,4,7
7000,694,0.008236685767769814,0.040378011763095856,0.0683431550860405,0.008236685767769814,0.008236685767769814,0.13937801176309586,0.13937801176309586,0.1683431550860405,0.1683431550860405,1,0.932376483577146,3378,9,68,14,3,60,6,197,9,342,27,189,6,6,8,12,90,107,139,5,33,7,23,7,7,8,20,26,259,69,52,30,46,237,6,103,414,206,10,7,11,148,18,3,12,98,32,12,162,7,7
8000,794,-0.0111710075289011,0.047630295157432556,0.021781394258141518,-0.0111710075289011,0.0111710075289011,0.14663029515743256,0.14663029515743256,0.12178139425814152,0.12178139425814152,1,0.934010152284264,3864,12,68,14,3,60,8,200,29,344,27,191,8,7,8,12,90,108,140,6,34,7,24,8,8,10,22,84,380,69,53,31,46,237,43,105,417,207,12,8,72,150,19,4,15,99,32,12,305,7,8
9000,894,-0.003887210041284561,0.04749447852373123,0.08137089759111404,-0.003887210041284561,0.003887210041284561,0.14649447852373124,0.14649447852373124,0.18137089759111405,0.18137089759111405,1,0.9356989247311828,4351,12,69,15,5,60,8,332,29,345,27,361,11,7,8,14,92,110,141,6,34,8,26,9,8,10,23,84,381,69,53,31,46,238,67,106,417,208,13,133,72,150,20,6,16,100,32,14,306,8,10
10000,994,-0.0014111599884927273,0.10171796381473541,0.019967101514339447,-0.0014111599884927273,0.0014111599884927273,0.20071796381473542,0.20071796381473542,0.11996710151433945,0.11996710151433945,1,0.936858415649816,4837,13,70,19,5,62,9,545,30,347,29,521,12,7,8,16,92,113,141,6,36,8,27,10,8,10,23,86,381,69,53,33,48,238,69,108,417,210,15,196,72,151,20,7,16,102,34,17,306,10,12
11000,1094,-0.0057561080902814865,0.09385664016008377,0.08624819666147232,-0.0057561080902814865,0.0057561080902814865,0.19285664016008378,0.19285664016008378,0.18624819666147233,0.18624819666147233,1,0.9378192707415889,5324,13,73,20,6,62,10,562,32,348,29,521,12,7,9,18,93,113,142,6,36,9,27,11,10,10,25,86,383,69,54,34,51,239,141,109,419,433,17,197,72,153,22,7,18,102,34,146,309,11,13
12000,1194,-0.004975190386176109,0.0947955921292305,0.07816735655069351,-0.004975190386176109,0.004975190386176109,0.1937955921292305,0.1937955921292305,0.17816735655069352,0.17816735655069352,1,0.9395506707612736,5813,13,73,20,6,63,11,562,34,376,32,522,12,7,11,19,93,113,143,7,37,10,27,11,11,10,26,87,385,72,55,36,53,241,142,109,420,434,17,198,72,154,23,7,21,105,35,562,310,12,14
13000,1294,-0.03140852227807045,-0.04333334416151047,0.002232905477285385,-0.03140852227807045,0.03140852227807045,0.05566665583848954,0.05566665583848954,0.10223290547728539,0.10223290547728539,0,0.9365410397735736,6287,13,73,20,7,65,12,562,35,695,36,523,12,8,12,19,94,115,143,7,38,11,28,14,11,11,27,87,496,73,55,37,53,245,142,110,425,436,17,199,73,154,24,7,21,105,36,563,310,12,16
14000,1394,-0.007793363183736801,-1.998990774154663e-05,0.017919952049851418,-0.007793363183736801,0.007793363183736801,0.09898001009225846,0.09898001009225846,0.11791995204985142,0.11791995204985142,1,0.8968974393713589,6620,15,73,22,7,65,12,562,91,695,37,523,13,9,12,19,94,115,145,8,39,15,29,15,11,11,28,87,500,74,56,38,55,246,143,110,425,436,17,199,73,155,24,7,21,107,36,628,310,12,195
15000,1494,-0.01023954339325428,0.0009133666753768921,0.07970894128084183,-0.01023954339325428,0.01023954339325428,0.0999133666753769,0.0999133666753769,0.17970894128084183,0.17970894128084183,1,0.837109614206981,6835,16,76,23,7,65,12,562,93,695,38,523,13,10,13,20,94,115,145,9,39,15,29,15,12,11,28,88,674,74,56,38,55,246,144,110,425,437,19,200,73,155,24,7,23,109,37,646,310,12,195
16000,1594,0.012122010812163353,-0.0014161542057991028,0.015274561941623688,0.012122010812163353,0.012122010812163353,0.0975838457942009,0.0975838457942009,0.1152745619416237,0.1152745619416237,0,0.7899093858373419,7061,16,77,23,7,65,12,562,118,695,38,524,13,10,13,21,94,115,145,9,39,16,30,15,12,11,28,88,803,75,57,38,55,247,146,110,426,438,21,200,73,212,24,7,23,109,37,646,310,13,195
17000,1694,-0.0003972463309764862,0.029819637537002563,0.008534882217645645,-0.0003972463309764862,0.0003972463309764862,0.12881963753700257,0.12881963753700257,0.10853488221764565,0.10853488221764565,1,0.7950585999366487,7530,18,78,23,21,65,14,562,119,695,39,524,13,10,13,21,97,116,145,9,39,17,30,16,13,12,30,89,803,77,61,40,56,248,147,110,442,441,23,200,73,608,25,9,26,110,37,646,310,14,195
18000,1794,-0.006026770919561386,0.028522789478302002,0.00024782121181488037,-0.006026770919561386,0.006026770919561386,0.127522789478302,0.127522789478302,0.10024782121181489,0.10024782121181489,1,0.8023430459597477,8013,19,79,23,21,65,17,565,121,695,39,525,14,10,17,21,98,116,147,10,42,17,30,19,14,14,30,90,804,80,62,43,58,295,148,111,455,442,25,201,73,609,26,10,78,111,38,646,313,329,198
19000,1894,0.003256663680076599,0.029765501618385315,0.05203680694103241,0.003256663680076599,0.003256663680076599,0.12876550161838532,0.12876550161838532,0.15203680694103242,0.15203680694103242,1,0.809791408705591,8502,19,79,24,23,65,19,566,210,695,39,527,17,10,17,23,98,116,148,11,43,17,31,19,15,16,31,90,805,82,62,44,58,317,149,113,715,443,26,203,74,610,27,10,125,111,40,677,313,329,200
20000,1994,0.0014665722846984863,0.07575126737356186,0.047661930322647095,0.0014665722846984863,0.0014665722846984863,0.17475126737356186,0.17475126737356186,0.1476619303226471,0.1476619303226471,1,0.8167862657825415,8992,19,81,24,25,67,20,566,211,695,40,528,17,11,222,24,99,117,150,12,44,18,32,19,15,16,31,91,806,82,63,44,60,319,150,114,716,445,26,203,77,631,28,10,345,114,40,677,314,331,202
21000,2094,0.0014721080660820007,0.07698432356119156,0.044119566679000854,0.0014721080660820007,0.0014721080660820007,0.17598432356119156,0.17598432356119156,0.14411956667900086,0.14411956667900086,1,0.8226870335011283,9479,19,82,26,249,68,22,566,213,695,41,529,18,11,442,24,100,117,151,13,45,18,33,20,19,16,33,92,807,84,63,44,62,319,150,114,718,448,27,205,78,631,28,11,346,115,40,679,314,331,202
22000,2194,0.0005973055958747864,0.0750621035695076,0.014327805489301682,0.0005973055958747864,0.0005973055958747864,0.1740621035695076,0.1740621035695076,0.11432780548930169,0.11432780548930169,1,0.82869254426066,9970,23,82,27,528,68,22,569,213,695,42,530,18,13,442,25,100,117,152,15,47,19,136,21,22,17,34,94,808,87,64,46,64,321,152,114,718,448,28,205,79,632,28,12,408,116,40,679,316,331,202
23000,2294,0.000148039311170578,0.02673238515853882,0.022933896631002426,0.000148039311170578,0.000148039311170578,0.12573238515853882,0.12573238515853882,0.12293389663100243,0.12293389663100243,1,0.8285237300262343,10422,25,84,28,528,68,22,569,213,696,42,531,19,14,446,25,100,118,153,17,49,20,156,21,266,18,34,95,809,87,65,47,65,323,152,115,718,449,29,205,80,634,28,12,520,117,40,720,316,331,202
24000,2394,-0.006353598088026047,0.02343229204416275,-0.028998812660574913,-0.006353598088026047,0.006353598088026047,0.12243229204416275,0.12243229204416275,0.07100118733942509,0.07100118733942509,1,0.8329769360012219,10907,27,85,28,528,71,22,570,214,696,42,533,19,16,448,25,102,119,155,17,50,21,156,21,489,18,36,95,810,89,65,48,66,323,154,115,935,451,29,207,80,635,29,13,521,118,43,720,317,333,202
25000,2494,0.004146527498960495,0.01971154659986496,-0.03547397628426552,0.004146527498960495,0.004146527498960495,0.11871154659986496,0.11871154659986496,0.06452602371573449,0.06452602371573449,1,0.8371546149323927,11392,29,86,28,529,72,24,570,407,696,70,534,20,16,448,28,105,121,155,20,50,22,157,21,491,21,36,96,811,92,67,48,67,326,156,115,946,452,30,209,80,662,30,13,522,297,43,721,317,334,202
26000,2594,-0.0008016061037778854,-0.024125009775161743,-0.022339385002851486,-0.0008016061037778854,0.0008016061037778854,0.07487499022483826,0.07487499022483826,0.07766061499714852,0.07766061499714852,0,0.826355717898286,11764,29,87,45,529,73,25,572,493,697,163,534,20,17,449,28,107,121,155,21,51,22,158,21,492,22,38,98,811,92,68,48,71,326,157,115,946,452,32,210,80,663,30,13,523,428,43,736,317,334,202
