action_count,estimator,n_trials,mean_error,sd_error,se_error
2,standard_maximum,10000,0.5728602204452934,0.8274111806102643,0.008274111806102644
2,independent_evaluation,10000,-0.002304174549566319,1.0136096135650956,0.010136096135650956
8,standard_maximum,10000,1.4261647493811351,0.623033122187898,0.00623033122187898
8,independent_evaluation,10000,-0.006112162490844387,1.0060613163260097,0.010060613163260098
32,standard_maximum,10000,2.0752002754505514,0.4959316625721652,0.004959316625721652
32,independent_evaluation,10000,0.008965678955719014,0.9953588481765474,0.009953588481765474
128,standard_maximum,10000,2.598451750940272,0.42203053750543,0.0042203053750543
128,independent_evaluation,10000,-0.0013664603665292723,0.9953999830332358,0.009953999830332358
256,standard_maximum,10000,2.8171118865852574,0.39159284789367776,0.003915928478936777
256,independent_evaluation,10000,0.008912408603759968,1.0028285738926963,0.010028285738926963
